fy,abbr,state,County,County 2,"County, State",Local Board,type,count,avgWage,MedianWageByCounty
FY 2023,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Completer Apprentices,16,24.49875,23
FY 2022,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Active Apprentices,114,14.44517544,12.65
FY 2022,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,New Apprentices,54,15.26611111,12.65
FY 2022,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Completer Apprentices,12,24.29833333,23
FY 2025,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Active Apprentices,197,16.49756345,16
FY 2025,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,New Apprentices,87,17.87137931,16
FY 2025,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Completer Apprentices,4,23.55,23.35
FY 2024,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Active Apprentices,178,15.64842697,15
FY 2024,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,New Apprentices,121,16.46719008,16
FY 2024,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Completer Apprentices,14,21.75714286,23.6
FY 2023,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Active Apprentices,140,15.05928571,15
FY 2023,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,New Apprentices,85,15.62058824,15
FY 2023,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Completer Apprentices,7,19.2,16
FY 2022,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Active Apprentices,118,14.14762712,13.65
FY 2022,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,New Apprentices,156,13.92455128,13.5
FY 2022,FL,Florida,Martin County,Martin,"Martin, FL",CareerSource Research Coast,Completer Apprentices,2,16,16
FY 2025,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Active Apprentices,1508,22.29501328,21
FY 2025,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,New Apprentices,477,22.19378151,21
FY 2025,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Completer Apprentices,133,31.14390977,28.19
FY 2024,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Active Apprentices,1414,21.48481928,19.84
FY 2024,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,New Apprentices,571,21.14404553,19.84
FY 2024,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Completer Apprentices,186,30.79075676,28
FY 2023,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Active Apprentices,1264,20.61229183,19
FY 2023,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,New Apprentices,655,21.26998457,19.26
FY 2023,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Completer Apprentices,210,33.38887805,32.41
FY 2022,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Active Apprentices,1002,19.089002,18
FY 2022,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,New Apprentices,299,19.27943144,18
FY 2022,FL,Florida,Miami-Dade County,Miami-Dade,"Miami-Dade, FL",CareerSource South Florida,Completer Apprentices,131,30.88496063,28.21
FY 2025,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,Active Apprentices,28,18.94444444,19
FY 2025,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,New Apprentices,13,19.08333333,18.5
FY 2025,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,Completer Apprentices,1,25,25
FY 2024,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,Active Apprentices,27,19.53703704,19
FY 2024,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,New Apprentices,31,19.5,19
FY 2024,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,Completer Apprentices,1,21.25,21.25
FY 2023,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,Active Apprentices,8,17.625,17
FY 2022,FL,Florida,Monroe County,Monroe,"Monroe, FL",CareerSource Southwest Florida,Active Apprentices,8,17.625,17
FY 2025,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Active Apprentices,22,21.723,24.77
FY 2025,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,New Apprentices,4,22.655,22.25
FY 2025,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Completer Apprentices,4,31.06,31.06
FY 2024,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Active Apprentices,22,22.288,25.355
FY 2024,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Completer Apprentices,1,21.06,21.06
FY 2023,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Active Apprentices,24,21.53772727,25.31
FY 2023,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,New Apprentices,15,23.98266667,25.48
FY 2023,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Completer Apprentices,4,30.3,30.3
FY 2022,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Active Apprentices,14,20.1175,21.465
FY 2022,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,New Apprentices,11,22.32727273,25.31
FY 2022,FL,Florida,Nassau County,Nassau,"Nassau, FL",CareerSource Northeast Florida,Completer Apprentices,6,28.795,28.34
FY 2025,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,Active Apprentices,5,20.156,19.5
FY 2025,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,New Apprentices,1,21,21
FY 2025,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,Completer Apprentices,6,21.845,17.675
FY 2024,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,Active Apprentices,10,17.253,15.375
FY 2024,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,New Apprentices,5,17.256,15
FY 2024,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,Completer Apprentices,13,23.96307692,23
FY 2023,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,Active Apprentices,27,16.69703704,15
FY 2023,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,New Apprentices,27,16.66777778,15
FY 2022,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,Active Apprentices,21,15.77571429,15
FY 2022,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,New Apprentices,23,15.62130435,15
FY 2022,FL,Florida,Okaloosa County,Okaloosa,"Okaloosa, FL",CareerSource Okaloosa Walton,Completer Apprentices,1,20,20
FY 2025,FL,Florida,Okeechobee County,Okeechobee,"Okeechobee, FL",CareerSource Heartland,Active Apprentices,123,23.2398374,23
FY 2025,FL,Florida,Okeechobee County,Okeechobee,"Okeechobee, FL",CareerSource Heartland,New Apprentices,127,23.10629921,23
FY 2024,FL,Florida,Okeechobee County,Okeechobee,"Okeechobee, FL",CareerSource Heartland,Active Apprentices,4,24.25,22
FY 2024,FL,Florida,Okeechobee County,Okeechobee,"Okeechobee, FL",CareerSource Heartland,New Apprentices,4,24.25,22
FY 2025,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Active Apprentices,2083,18.74017763,18
FY 2025,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,New Apprentices,1082,19.48751386,18
FY 2025,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Completer Apprentices,218,26.38389908,28.04
FY 2024,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Active Apprentices,1762,17.89179342,17.15
FY 2024,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,New Apprentices,933,18.58356913,18
FY 2024,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Completer Apprentices,216,25.92388889,26.39
FY 2023,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Active Apprentices,1445,17.07720415,16.5
FY 2023,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,New Apprentices,696,18.03008621,17.5
FY 2023,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Completer Apprentices,304,24.65394737,24.5
FY 2022,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Active Apprentices,1428,15.97220588,15.24
FY 2022,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,New Apprentices,652,16.64342025,16
FY 2022,FL,Florida,Orange County,Orange,"Orange, FL",CareerSource Central Florida,Completer Apprentices,289,23.70373665,23
FY 2025,FL,Florida,Osceola County,Osceola,"Osceola, FL",CareerSource Central Florida,Active Apprentices,26,16.91692308,15.88
FY 2025,FL,Florida,Osceola County,Osceola,"Osceola, FL",CareerSource Central Florida,New Apprentices,18,17.90388889,15.88
FY 2025,FL,Florida,Osceola County,Osceola,"Osceola, FL",CareerSource Central Florida,Completer Apprentices,2,18.97,18.97
FY 2024,FL,Florida,Osceola County,Osceola,"Osceola, FL",CareerSource Central Florida,Active Apprentices,17,15.65470588,15.25
FY 2024,FL,Florida,Osceola County,Osceola,"Osceola, FL",CareerSource Central Florida,New Apprentices,17,15.65470588,15.25
FY 2022,FL,Florida,Osceola County,Osceola,"Osceola, FL",CareerSource Central Florida,Active Apprentices,3,17,17
FY 2025,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Active Apprentices,1508,20.89273391,20
FY 2025,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,New Apprentices,849,22.09474057,21.99
FY 2025,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Completer Apprentices,265,27.95192453,29.4
FY 2024,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Active Apprentices,1310,19.45078626,17.15
FY 2024,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,New Apprentices,728,20.80774725,18.03
FY 2024,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Completer Apprentices,133,29.71233083,32.16
FY 2023,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Active Apprentices,914,17.17712254,16
FY 2023,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,New Apprentices,409,22.22237164,18.09
FY 2023,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Completer Apprentices,113,28.16990826,28
FY 2022,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Active Apprentices,827,15.42839178,15
FY 2022,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,New Apprentices,341,16.95313783,16.5
FY 2022,FL,Florida,Palm Beach County,Palm Beach,"Palm Beach, FL",CareerSource Palm Beach County,Completer Apprentices,164,25.44651316,25
FY 2025,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Active Apprentices,194,20.56273196,22.62
FY 2025,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,New Apprentices,117,19.67008547,15.87
FY 2025,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Completer Apprentices,98,16.94459184,15
FY 2024,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Active Apprentices,209,17.35712919,15
FY 2024,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,New Apprentices,128,17.02023438,15
FY 2024,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Completer Apprentices,78,20.71858974,15
FY 2023,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Active Apprentices,202,16.00618812,14
FY 2023,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,New Apprentices,100,15.2926,13.75
FY 2023,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Completer Apprentices,65,21.42969231,14
FY 2022,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Active Apprentices,204,15.4991133,12.5
FY 2022,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,New Apprentices,147,14.58163265,12
FY 2022,FL,Florida,Pasco County,Pasco,"Pasco, FL",CareerSource Pasco Hernando,Completer Apprentices,68,16.79602941,11.5
FY 2025,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Active Apprentices,649,18.82248074,18
FY 2025,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,New Apprentices,299,18.9487291,18
FY 2025,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,115,22.07617391,20
FY 2024,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Active Apprentices,595,18.15610084,17.91
FY 2024,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,New Apprentices,312,17.97259615,17.735
FY 2024,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,158,19.62816456,18
FY 2023,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Active Apprentices,553,17.23264014,16.93
FY 2023,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,New Apprentices,265,17.14222642,16.5
FY 2023,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,90,19.28577778,19.4
FY 2022,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Active Apprentices,534,15.94331461,16
FY 2022,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,New Apprentices,291,16.34017182,16
FY 2022,FL,Florida,Pinellas County,Pinellas,"Pinellas, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,88,16.68977011,17.16
FY 2025,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Active Apprentices,100,23.1121,25.81
FY 2025,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,New Apprentices,48,23.4775,26.75
FY 2025,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Completer Apprentices,27,33.03481481,35
FY 2024,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Active Apprentices,90,22.41944444,21.3
FY 2024,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,New Apprentices,80,24.317,25.81
FY 2024,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Completer Apprentices,42,35.84428571,35
FY 2023,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Active Apprentices,78,23.88923077,21.04
FY 2023,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,New Apprentices,64,27.92875,27.3
FY 2023,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Completer Apprentices,25,33.7496,35
FY 2022,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Active Apprentices,44,17.81386364,16.58
FY 2022,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,New Apprentices,14,16.58571429,16
FY 2022,FL,Florida,Polk County,Polk,"Polk, FL",CareerSource Polk,Completer Apprentices,9,23.28111111,20.32
FY 2025,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Active Apprentices,873,31.04766055,31.49
FY 2025,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,New Apprentices,706,31.52785816,31.77
FY 2025,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Completer Apprentices,420,34.00469048,32.615
FY 2024,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Active Apprentices,783,29.63300128,30.66
FY 2024,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,New Apprentices,728,29.77434066,30.6
FY 2024,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Completer Apprentices,158,31.3485443,31.3
FY 2023,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Active Apprentices,381,27.85879265,30.5
FY 2023,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,New Apprentices,367,29.16010899,30.69
FY 2023,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Completer Apprentices,89,30.56314607,31
FY 2022,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Active Apprentices,145,21.92372414,26.53
FY 2022,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,New Apprentices,58,18.17741379,16
FY 2022,FL,Florida,Santa Rosa County,Santa Rosa,"Santa Rosa, FL",CareerSource Escarosa,Completer Apprentices,18,24.60722222,24.075
FY 2025,FL,Florida,Sarasota County,Sarasota,"Sarasota, FL",CareerSource Suncoast,Active Apprentices,792,17.36808081,16.58
FY 2025,FL,Florida,Sarasota County,Sarasota,"Sarasota, FL",CareerSource Suncoast,New Apprentices,348,18.24284483,17.275
FY 2025,FL,Florida,Sarasota County,Sarasota,"Sarasota, FL",CareerSource Suncoast,Completer Apprentices,89,24.29820225,26
FY 2024,FL,Florida,Sarasota County,Sarasota,"Sarasota, FL",CareerSource Suncoast,Active Apprentices,601,15.98617304,16.01
FY 2024,FL,Florida,Sarasota County,Sarasota,"Sarasota, FL",CareerSource Suncoast,New Apprentices,228,17.97469298,18
FY 2024,FL,Florida,Sarasota County,Sarasota,"Sarasota, FL",CareerSource Suncoast,Completer Apprentices,44,21.88931818,22.005
FY 2023,FL,Florida,Sarasota County,Sarasota,"Sarasota, FL",CareerSource Suncoast,Active Apprentices,506,14.79067194,15
